image_idx,rgb_file,depth_file,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
417,1305031467.259694.png,1305031467.252275.png,0.706624,1.151957,1.337450,1.126920,0.212087,0.444252,0.620338
418,1305031467.295846.png,1305031467.284258.png,0.723666,1.225576,1.379750,1.107598,0.224382,0.435220,0.604081
419,1305031467.328008.png,1305031467.318028.png,0.686832,1.130613,1.351177,1.081608,0.230632,0.452379,0.628175
420,1305031467.359654.png,1305031467.349355.png,0.699015,1.173307,1.380023,1.049121,0.226154,0.444492,0.616905
421,1305031467.395756.png,1305031467.383844.png,0.685834,1.150539,1.365507,1.019645,0.242987,0.457501,0.617217
422,1305031467.427783.png,1305031467.420160.png,0.681119,1.144686,1.367411,1.044190,0.248483,0.450431,0.617487
423,1305031467.459692.png,1305031467.452057.png,0.660624,1.096033,1.347145,0.997391,0.255684,0.465399,0.631841
424,1305031467.496058.png,1305031467.484357.png,0.662909,1.127621,1.381168,0.986005,0.262318,0.454015,0.617860
425,1305031467.527663.png,1305031467.520535.png,0.656719,1.118556,1.385818,1.050405,0.275388,0.454433,0.615841
426,1305031467.559763.png,1305031467.552164.png,0.629457,1.031873,1.334805,1.010754,0.283032,0.463644,0.637386
427,1305031467.595989.png,1305031467.584354.png,0.635901,1.055989,1.346630,1.028491,0.284216,0.465711,0.630275
428,1305031467.627532.png,1305031467.618680.png,0.678833,1.194463,1.414108,1.058905,0.262329,0.440773,0.608146
429,1305031467.659626.png,1305031467.651977.png,0.693547,1.286726,1.464111,1.056036,0.267282,0.448036,0.607173
430,1305031467.695886.png,1305031467.686044.png,0.680048,1.218582,1.479233,1.077474,0.266199,0.440359,0.600276
431,1305031467.727535.png,1305031467.718326.png,0.663317,1.157094,1.461606,1.046518,0.265197,0.443698,0.610739
432,1305031467.759907.png,1305031467.752580.png,0.669661,1.177278,1.476617,1.055872,0.257625,0.441470,0.608296
433,1305031467.796075.png,1305031467.788562.png,0.704214,1.304649,1.539248,1.085175,0.255917,0.433249,0.597056
434,1305031467.827800.png,1305031467.820454.png,0.741347,1.431049,1.583852,1.070850,0.238946,0.423579,0.587212
435,1305031467.859729.png,1305031467.852678.png,0.752019,1.461067,1.610854,1.147585,0.239571,0.420443,0.571971
436,1305031467.895947.png,1305031467.888472.png,0.794486,1.637747,1.688876,1.140719,0.227892,0.403510,0.546838
437,1305031467.927754.png,1305031467.920800.png,0.818513,1.704479,1.748864,1.203482,0.222840,0.389110,0.516885
438,1305031467.959826.png,1305031467.952485.png,0.857484,1.839207,1.810054,1.286961,0.206319,0.366570,0.489409
439,1305031467.995754.png,1305031467.988523.png,0.864860,1.881590,1.851425,1.341092,0.203000,0.361373,0.484284
440,1305031468.028107.png,1305031468.020491.png,0.878970,1.901618,1.855823,1.357863,0.200587,0.347464,0.476920
441,1305031468.059850.png,1305031468.052668.png,0.863545,1.797913,1.802795,1.320258,0.194726,0.349755,0.493834
442,1305031468.095867.png,1305031468.088379.png,0.894278,1.917038,1.863182,1.414327,0.176517,0.339433,0.476954
443,1305031468.127816.png,1305031468.120522.png,0.886553,1.850052,1.852183,1.457305,0.160685,0.333608,0.473954
444,1305031468.159864.png,1305031468.152356.png,0.856762,1.711078,1.799935,1.429977,0.154886,0.344988,0.480798
445,1305031468.195985.png,1305031468.188327.png,0.840615,1.631247,1.783947,1.497362,0.136377,0.332296,0.482382
446,1305031468.228158.png,1305031468.220648.png,0.783462,1.445651,1.702617,1.392967,0.165307,0.365146,0.510009
447,1305031468.259754.png,1305031468.252517.png,0.758505,1.363476,1.667504,1.406884,0.174826,0.375561,0.524526
448,1305031468.295830.png,1305031468.288361.png,0.735981,1.289277,1.637981,1.504860,0.183419,0.366351,0.533649
449,1305031468.327847.png,1305031468.320522.png,0.711400,1.215617,1.602452,1.553146,0.197491,0.373058,0.546303
450,1305031468.359787.png,1305031468.352594.png,0.691310,1.174777,1.597905,1.580006,0.212495,0.403223,0.555161
451,1305031468.395860.png,1305031468.384700.png,0.678203,1.150939,1.600815,1.546646,0.216948,0.417902,0.566261
